Right Fielders,Dave York,13th,Joe Bruce,7th,11th
Starting Pitchers,Jim Lamb,7th,Chris McDonald,31st,30th
Relievers,Sigifrid Gròndgrens,22nd,Geoff Tucker,13th,21st
Closers,Jeremy Allison,8th,Mike James,28th (tied),9th
,CLEVELAND INDIANS 07/12/2061,,,,
Position,Top player,Team ranking,Top prospect,Organizational ranking,Overall ranking
Catchers,Ben Laverick,16th,Tim Kleeman,1st,10th
First Basemen,Joe Santos,13th,Enrico Cuevas,12th,14th
Second Basemen,Juan Ruíz,28th,Pat Hinton,6th,24th
Third Basemen,Kurt Francis,26th,Ron Campbell,16th,26th
Shortstops,Doug Payne,25th,Robbie Watkins,15th,26th
Left Fielders,Luis Morales,30th,Ken Reed,17th,29th
Center Fielders,António Estrada,5th,Dan Carlisle,19th,6th
Right Fielders,Juan López,19th,Atsushi Nakamura,4th,15th
Starting Pitchers,Eric Bibb,4th,Greg Price,2nd,1st
Relievers,Iván Jiménez,19th,Chris O'Connor,24th,18th
Closers,José Fierro,12th (tied),José López,12th,13th
,COLORADO ROCKIES 07/12/2061,,,,
Position,Top player,Team ranking,Top prospect,Organizational ranking,Overall ranking
Catchers,Jeff Hunter,30th,Tim Bennington,14th,31st
First Basemen,Rob LeBlanc,9th,Ken Hunter,7th,7th
Second Basemen,Greg Marshall,13th,Shawn Wade,3rd,6th
Third Basemen,Myron Pendleberry,20th,Shawn Wolfe,6th,16th
Shortstops,Luis Souza,32nd,Del Brown,31st,32nd
Left Fielders,Ánibal Salinas,28th,Rob Edwards,3rd,21st
Center Fielders,Dan Smart,26th,Ty Deal,5th,22nd
Right Fielders,Leo Aidan,2nd,Bob Christensen,2nd,2nd
Starting Pitchers,Manny Hernández,23rd,Wally Johns,3rd,8th
Relievers,Orlando Uribe,28th,Joe Holbrook,2nd,28th
Closers,Rob Hamilton,25th,Kip Cates,5th,24th
,DETROIT TIGERS 07/12/2061,,,,
Position,Top player,Team ranking,Top prospect,Organizational ranking,Overall ranking
Catchers,Masujiro Sato,17th,Raúl Martínez,28th,22nd
First Basemen,José Cortéz,12th,Kevin Gordon,14th,13th
Second Basemen,António Jiménez,2nd,Greg Penley,31st,4th
Third Basemen,Chris Walker,16th,Oscar Patterson,32nd,23rd
Shortstops,Dwayne Condon,20th,Ron Hill,24th,21st
Left Fielders,Erik Fox,3rd,José López,16th,3rd
Center Fielders,Elton Stanley,20th,Jerry Lambert,18th,23rd
Right Fielders,Tomislav Cosic,20th,Robbie Wyatt,27th,25th
Starting Pitchers,José Morales,25th,Curt Cook,22nd,26th
Relievers,Greg Newton,5th,Jesús Alfaro,28th,7th
Closers,Sumitomo Suzuki,23rd,Bob Lund,7th (tied),21st
,HAVANA SUGAR KINGS 07/12/2061,,,,
Position,Top player,Team ranking,Top prospect,Organizational ranking,Overall ranking
Catchers,Edgardo Saborido,1st,Pat Bates,15th,1st
First Basemen,Dave Perkins,16th,Sam Peoples,20th,17th
Second Basemen,Mario Valderrama,3rd,Juan Quiñones,2nd,1st
Third Basemen,Tomás Parra,14th,Phil Pollock,1st,5th
Shortstops,Steve Weaver,16th,Ken Pitts,6th,12th
Left Fielders,Zander Jackson,23rd,Jim Anderson,2nd,18th
Center Fielders,Geoff Cummings,18th,José Montoya,15th,20th
Right Fielders,Nelson Garza,10th,Dave Walden,24th,13th
Starting Pitchers,Jim Calhoun,3rd,Hakeem Nabih,7th,2nd
Relievers,Gene McGowan,8th,Juan Luis Vargas,11th,8th
Closers,Wes Hoover,30th,Randy den Braber,23rd,29th
,KANSAS CITY ROYALS 07/12/2061,,,,
Position,Top player,Team ranking,Top prospect,Organizational ranking,Overall ranking
Catchers,Brad Smith,25th,António López,32nd,29th
First Basemen,Jeff Little,26th,Jesús Hernández,11th,25th
Second Basemen,Juan Cisneros,30th,Víctor González,21st,30th
Third Basemen,Mitch Stark,12th,Ernie Goff,20th,15th
Shortstops,Raúl Romo,2nd,Dave Stewart,9th,2nd
Left Fielders,Cal Pace,8th,Jerry Welch,9th,7th
Center Fielders,Naruhiko Ito,4th,Yat-sen Chin,6th,4th
Right Fielders,Sean O'Neill,29th,Kevin O'Neal,18th,27th
Starting Pitchers,Jon Johnson,31st,Tim Crutcher,20th,23rd
Relievers,Jeff Songer,17th,Lonnie Montgomery,9th,16th
Closers,David Martínez,10th,Jorge Pérez,18th,10th
,LOS ANGELES ANGELS 07/12/2061,,,,
Position,Top player,Team ranking,Top prospect,Organizational ranking,Overall ranking
Catchers,António Franco,10th,Iain van Gerrevink,22nd,13th
First Basemen,Augusto Pérez,20th,Pete Mitchell,29th,21st
Second Basemen,César Salazar,12th,Bob Weber,28th,17th
Third Basemen,Kyung-wan Lee,21st,Steve Montgomery,29th (tied),25th
Shortstops,Luis Rodríguez,7th,Jon Hicks,21st (tied),8th
Left Fielders,Ron Moore,6th,Ron Tucker,25th (tied),8th
Center Fielders,José Silva,1st,Mike McGhee,17th,1st
Right Fielders,Toby Patton,31st,Pepe Gonzáles,23rd,31st
Starting Pitchers,Rocky Holland,28th,Bob Smith,26th (tied),31st
Relievers,Bob Sheffield,32nd,Curt Marshall,32nd,32nd
Closers,Felício Roboredo,21st,Greg Robinson,31st,25th
,LOS ANGELES DODGERS 07/12/2061,,,,
Position,Top player,Team ranking,Top prospect,Organizational ranking,Overall ranking
Catchers,Jim Cameron,4th,Abu Bakr bin Jalil,11th,4th
First Basemen,Gyu-sik Chon,4th,Yeijiro Nichols,31st,6th
Second Basemen,Raúl Méndez,14th,Eric Carter,26th,16th
Third Basemen,César Lovos,1st,Bobby Callahan,17th,2nd
Shortstops,David Gonzáles,14th,Pat Bacon,16th,14th
Left Fielders,Erik Clarke,26th,Dave Bowers,32nd,31st
Center Fielders,José Miranda,17th,Arturo Ramos,21st,18th
Right Fielders,Leonardo Hernández,32nd,Jeff George,32nd,32nd
Starting Pitchers,César Guerrero,24th,Freddy Peña,17th,18th
Relievers,Nate Wiggins,16th,Alfredo Rodríguez,12th,15th
Closers,António Rivera,9th,Alfredo Rodríguez,1st,8th
,MIAMI MARLINS 07/12/2061,,,,
Position,Top player,Team ranking,Top prospect,Organizational ranking,Overall ranking
Catchers,Jonas Fragoso,9th,António Chávez,26th (tied),12th
First Basemen,Artie Robinson,18th,Jeff Flanagan,2nd,15th
Second Basemen,Juan Pérez,26th,Joe Travis,29th,28th
Third Basemen,Jesús Gómez,30th,Al McConnell,29th (tied),30th
Shortstops,Cedric Jackson,15th,Rob Olsen,30th,20th
Left Fielders,Iván García,21st,Chris Machado,20th,22nd
Center Fielders,Sergio Núñes,13th,Ron Davis,29th,17th
Right Fielders,Arturo Ramírez,8th,Jimmy Hicks,28th,14th
Starting Pitchers,Jesús Martínez,13th,Jesús Méndez,26th (tied),28th
Relievers,Curt Rowe,9th,Frankie López,16th,9th
Closers,Pete Lord,7th,Manny Gabriel,14th,6th
,MILWAUKEE BREWERS 07/12/2061,,,,
Position,Top player,Team ranking,Top prospect,Organizational ranking,Overall ranking
Catchers,Teddy Wright,5th,Chris MacFadden,8th,5th
First Basemen,Junior King,30th,Jonas Bendt,32nd,31st
Second Basemen,See-tong Liao,19th,Mauro Díaz,8th,15th
Third Basemen,Josh Phillips,19th,Luis Hernando,14th,18th
Shortstops,Randy Jacobs,13th,Pete Williamson,20th,15th
Left Fielders,António Martínez,7th,Cliff Bridges,8th,6th
Center Fielders,Al Scott,16th,Joe Mitchell,12th,15th
Right Fielders,Quincy Bell,12th,Brad Lamb,26th,18th
Starting Pitchers,Juan Moreno,17th,Robbie Thompson,9th,6th
Relievers,Cisco Castro,6th,António Peña,3rd,5th
Closers,Jayson Sims,4th,Ted Watkins,3rd,4th
,MINNESOTA TWINS 07/12/2061,,,,
Position,Top player,Team ranking,Top prospect,Organizational ranking,Overall ranking
Catchers,Luis Díaz,6th,Ben Lowry,13th,6th
First Basemen,Esteban Rodríguez,3rd,Billy Washington,4th,2nd
Second Basemen,Jorge Martínez,1st,Horace Waddell,24th,3rd
Third Basemen,Dewitt Jones,24th,Loren Carson,4th,19th
Shortstops,Mito Ohayashi,10th,Dan Dixon,13th,9th
Left Fielders,José García,18th,Luis Rivera,5th,17th
Center Fielders,Randy Rose,29th,Jeff Craft,24th,30th
Right Fielders,Hiroshi Kondo,24th,José Carrillo,15th,23rd
Starting Pitchers,Greg Ramírez,19th,Darryl Pensomn,12th,17th
Relievers,Tanzan Sai,27th,Jeff Johnson,5th,26th
Closers,Jorge Quintero,18th,Joel Dunham,9th,14th
,MONTREAL EXPOS 07/12/2061,,,,
Position,Top player,Team ranking,Top prospect,Organizational ranking,Overall ranking
Catchers,Luis MacIntosh,32nd,Bob Cole,4th,28th
First Basemen,Jon Russell,19th,Billy Moody,24th,19th
Second Basemen,Dave Thompson,29th,Sammy Shelton,20th,29th
Third Basemen,Argan Machungwa,21st (tied),Juan Ledesma,22nd,21st
Shortstops,Ken Dean,23rd,António Piñeiro,26th,23rd
Left Fielders,Tommy Cramer,16th,Dave Becker,15th,20th
Center Fielders,Hedde van Aardschot,7th,Alvin Stewart,13th,5th
Right Fielders,Kip Hollingsworth,7th,Ron Patterson,14th,7th
Starting Pitchers,Edgar Bernal,29th,Dave Henderson,8th,14th
Relievers,José González,10th,Phil Rogers,20th,12th
Closers,José González,5th,Tim Pate,17th,5th
,NEW YORK YANKEES 07/12/2061,,,,
Position,Top player,Team ranking,Top prospect,Organizational ranking,Overall ranking
Catchers,António Berrones,18th,Sergio Pérez,5th,15th
First Basemen,Jimmy Carr,11th,Tim Hoffman,1st,8th
Second Basemen,Alex Bowman,6th,Joe Abbott,1st,2nd
Third Basemen,Alan Johnston,18th,Dave Perkins,24th,20th
Shortstops,Geoff Jones,21st,Marlon Williams,2nd,16th
Left Fielders,Manny Sandoval,2nd,Alfredo Correa,7th,2nd
Center Fielders,Jamie Sinclair,12th,Bob Davis,10th,11th (tied)
Right Fielders,Josh Greene,5th,Derek Barber,11th,3rd
Starting Pitchers,Bobby Vázquez,20th,Jesús Valdés,26th (tied),29th
Relievers,Aarão Glazebrook,1st,Juan González,18th,2nd
Closers,Héctor Reyes,22nd,Brendan Simmons,20th,22nd
,NEW YORK METS 07/12/2061,,,,
Position,Top player,Team ranking,Top prospect,Organizational ranking,Overall ranking
Catchers,Greg Dunn,13th,Garry McCain,17th,14th
First Basemen,Pat Powell,9th (tied),Eric van Hoose,27th,12th
Second Basemen,Juan Cortés,20th,Jed Clarke,11th,20th
Third Basemen,Takakazu Kodo,8th,Pancho Ramírez,25th,13th
Shortstops,José Ramírez,30th,Kevin Hollis,27th,31st
Left Fielders,Rob Jordan,12th,Eugenio González,21st,13th
Center Fielders,Jesús Balderas,10th,Juan Pérez,22nd,13th
Right Fielders,Ken Robinson,1st,Dorian Simmons,25th,1st
Starting Pitchers,Chipperson Willoughby,15th,Loren Cupit,4th,5th
Relievers,Juan Rodríguez,12th,Kiyonobu Kichida,10th,11th
Closers,Ted Campbell,31st,Mike Evans,21st,30th
,OAKLAND ATHLETICS 07/12/2061,,,,
Position,Top player,Team ranking,Top prospect,Organizational ranking,Overall ranking
Catchers,Niels Gerstaecker,3rd,Ben Kelly,25th,3rd
First Basemen,Juan Moreno,6th,Alex Perkins,23rd,9th
Second Basemen,Randy Arline,15th,Jake Banks,27th,19th
Third Basemen,Ben Hoffman,13th,Tony Rice,7th (tied),9th
Shortstops,Caspar Aspden,9th,Don Curran,32nd,13th
Left Fielders,Ben Poole,19th,Chris Jones,23rd,24th
Center Fielders,Artie Henderson,21st,José Gamboa,24th (tied),24th
Right Fielders,Jesús Herrera,6th,Andy Dillard,13th,6th
Starting Pitchers,Randy Ames,6th,Jeff Williams,13th,9th
Relievers,Jim Gilbert,18th,António Montalvo,27th,19th
Closers,Artie Moore,6th,Bob Landry,24th,7th
,PHILADELPHIA PHILLIES 07/12/2061,,,,
Position,Top player,Team ranking,Top prospect,Organizational ranking,Overall ranking
Catchers,Luis Valdéz,12th,Scot Thompson,31st,20th
First Basemen,Kevin Davis,31st,José Ayala,6th,29th
Second Basemen,Gyale Rapten,23rd,Pancho Espión,25th,25th
Third Basemen,Jamie Brooks,29th,Pat Dawson,17th (tied),29th
Shortstops,Alfredo Lucero,6th,Sergio Longoria,17th,7th
Left Fielders,Dave Patton,13th,Joe Clark,13th,14th
Center Fielders,Conan Catron,32nd,Gil Carter,8th,28th
Right Fielders,Katsumoto Nakashima,3rd,Tony González,22nd,4th
Starting Pitchers,Luis Mercado,8th,Iván Navarro,11th,12th
Relievers,Esteban Barrón,4th,Luis Andruet,25th,6th
Closers,Rod England,14th,Bill Prest,2nd,12th
,PITTSBURGH PIRATES 07/12/2061,,,,
Position,Top player,Team ranking,Top prospect,Organizational ranking,Overall ranking
Catchers,Mihi NiniManu,19th,Robbie Jackson,10th,19th
First Basemen,Glen Pope,23rd,Joe Carpenter,8th,22nd
Second Basemen,Bob Moore,7th,Bob Hanson,12th,5th
Third Basemen,Juan Lugo,10th,Jeff Bower,26th,17th
Shortstops,Darren Chell,26th,Ben Simmons,29th,28th
Left Fielders,Chris Mills,22nd,Hong-Vu Kieu,19th,22nd (tied)
Center Fielders,Ryobe Ogawa,28th,Ken Johnston,31st,31st
Right Fielders,António Lara,25th,Marc Decker,10th,21st
Starting Pitchers,Marcus Faulkner,11th,Billy Bannon,25th,20th
Relievers,Steve Gregory,15th,Steve Avery,13th (tied),14th
Closers,Ben Pugh,17th,Jim Irvin,19th,16th
,PORTLAND BEAVERS 07/12/2061,,,,
Position,Top player,Team ranking,Top prospect,Organizational ranking,Overall ranking
Catchers,César Andrada,28th,Dewitt León,23rd,30th
First Basemen,Mauro Martínez,1st,Lonnie Wolf,26th,1st
Second Basemen,Kyoshi Murakami,24th,Cristián Hernández,16th,25th (tied)
Third Basemen,Kyoji Shiraishi,5th,Sebastian Sundqvist,23rd,7th
Shortstops,Wei-qiang Rao,30th (tied),Tommy Wilson,25th,30th
Left Fielders,Phil Hudson,32nd,Josh Davis,10th,30th
Center Fielders,José Cruz,23rd,José Gómez,30th,26th
Right Fielders,Esteban González,4th,Leonardo Guerra,21st,8th
Starting Pitchers,Ben O'Kennelly,16th,Caden Henderson,21st,16th
Relievers,Luis De La Garza,26th,Lynwood Short,21st,27th
Closers,Steve Brown,3rd,Lieh Fang,4th,3rd
,SAN DIEGO PADRES 07/12/2061,,,,
Position,Top player,Team ranking,Top prospect,Organizational ranking,Overall ranking
Catchers,Jim Henderson,8th,Gil Taylor,19th,9th
First Basemen,Esteban Álvarez,24th,Ben Smith,14th (tied),23rd
Second Basemen,Kip Anderson,21st,Dave Ackerman,13th,21st
Third Basemen,Samuel Tipping,6th,Darryl Hughes,28th,8th
Shortstops,José Camacho,18th,Shinsui Hiro,14th,17th
Left Fielders,Pat Whitehead,17th,Robbie Jordan,1st,10th
Center Fielders,Dan Shaffer,15th,Bernardo Morales,4th,14th
Right Fielders,Don Saunders,27th,Tim Cameron,16th,26th
Starting Pitchers,Randy Stringfellow,9th,Juan Rosado,10th,13th
Relievers,Sergio Romo,30th,Mike Wood,18th (tied),30th
Closers,Ernesto Reyna,24th,Pat Gurston,6th,23rd
,SAN FRANCISCO GIANTS 07/12/2061,,,,
Position,Top player,Team ranking,Top prospect,Organizational ranking,Overall ranking
Catchers,Bob Blevins,22nd,Pat von Tettau,7th,18th
First Basemen,Jerry Crawford,28th,Alan Shelton,16th,28th
Second Basemen,Jesús Vargas,10th,Adrián Silva,10th,12th
Third Basemen,César Contreras,9th,Steve Campbell,2nd,6th
Shortstops,Don Carter,28th,Jorge Marín,10th,27th
Left Fielders,Kurt Walsh,25th,Alvin Tucker,31st,27th
Center Fielders,Nacho López,8th,Toyoharu Takuda,20th,8th
Right Fielders,Sergio Mendoza,26th,Marc Moore,9th,22nd
Starting Pitchers,Tony Castillo,27th,P.J. Wolfe,1st,11th
Relievers,Kieran Gennell,14th,Chris Hooper,29th,17th
Closers,Norm Dougherty,26th,Karl Brunet,21st (tied),26th
,SEATTLE MARINERS 07/12/2061,,,,
Position,Top player,Team ranking,Top prospect,Organizational ranking,Overall ranking
Catchers,Alex Ross,15th,Ernesto García,3rd,11th
First Basemen,Jonathan Steele,17th,Greg Hayes,17th,16th
Second Basemen,Hisayuki Kobayashi,10th (tied),Everton Flannery,5th,9th
Third Basemen,Luis López,27th (tied),Aurelio Justo,13th,28th
Shortstops,Tim Crashaw,1st,Yves Moreau,4th,1st
Left Fielders,Enrico Castillo,11th,Jeff Hoover,14th,9th
Center Fielders,Jeff Melton,3rd,Tony Wilson,11th,3rd
Right Fielders,Bastien Reineri,14th,António Moya,20th,17th
Starting Pitchers,Setiawan Nitisastro,12th,Mike Knight,31st (tied),32nd
Relievers,Luis Pacheco,11th,Estanislau Penedos,26th,13th
Closers,José Vallejo,29th,Sam Vance,27th,28th
,ST. LOUIS CARDINALS 07/12/2061,,,,
Position,Top player,Team ranking,Top prospect,Organizational ranking,Overall ranking
Catchers,Jim Carter,11th,Tim Sutton,9th,8th
First Basemen,Bryan Gerlach,21st,Hal Wiegand,18th (tied),20th
Second Basemen,Dave Davis,4th,Mike Godfrey,32nd,8th
Third Basemen,Mauro González,2nd,Greg Brandon,3rd,1st
Shortstops,Rudy Rosado,29th,Bob Weber,19th,29th
Left Fielders,José Cruz,5th,Jerry Fisher,17th (tied),4th
Center Fielders,Enrico Gutiérrez,2nd,Jesús García,14th,2nd
Right Fielders,Dave Lambright,16th,Matheus Mra,29th,24th
Starting Pitchers,Mitch Welch,1st,Jesús Delgado,23rd,3rd
Relievers,Jeff Patterson,3rd,Jeff McCormick,21st (tied),3rd
Closers,Jake Larsen,2nd,Jorge González,15th,2nd
,TEXAS RANGERS 07/12/2061,,,,
Position,Top player,Team ranking,Top prospect,Organizational ranking,Overall ranking
Catchers,Lionel Marruz,27th,Esteban García,12th,24th
First Basemen,Chris DeWitt,14th,Joe Herring,5th,11th
Second Basemen,Steve Brown,32nd,Ed Cannon,18th (tied),32nd
Third Basemen,Robinson Maldonado,31st,Jimmy Nevi,9th,31st
Shortstops,Bob Ryan,4th,Joaquín García,7th,4th
Left Fielders,Kieran Morgan,9th,Al Grimes,27th (tied),11th
Center Fielders,Senzo Maeda,22nd,José Díaz,9th,21st
Right Fielders,Jon Hulton,18th,Ken Johnson,17th,19th
Starting Pitchers,Monty Stone,30th,Jim Terry,18th,21st
Relievers,Vince Slaughter,29th,Kevin Nichols,21st (tied),29th
Closers,Ernesto Medina,20th,Jorge Ortíz,13th,17th
,TORONTO BLUE JAYS 07/12/2061,,,,
Position,Top player,Team ranking,Top prospect,Organizational ranking,Overall ranking
Catchers,Hjalmar Niebuhr,24th,Brad Zimmerman,24th,25th
First Basemen,Brad Marvin,15th,Joey McDonald,25th,18th
Second Basemen,Ed Bridges,9th,José Acosta,7th,11th
Third Basemen,Greg Clayton,32nd,Alfredo Castaneda,20th (tied),32nd
Shortstops,Juan Silva,19th,Ken George,5th,18th
Left Fielders,Derek Heller,10th,Sandy Weber,24th,12th
Center Fielders,Jerry Cherry,6th,Eddie Strong,28th,10th
Right Fielders,Ken DeWitt,28th,Luis Garza,30th,30th
Starting Pitchers,Bob Collins,18th,Dan Moore,24th,22nd
Relievers,David Pasaye,21st,Joe Schneider,8th,20th
Closers,David Pasaye,16th,Shawn Wiggins,28th (tied),20th
,VEGAS BLACKJACKS 07/12/2061,,,,
Position,Top player,Team ranking,Top prospect,Organizational ranking,Overall ranking
Catchers,Bob Ford,29th,Joe Allen,15th (tied),26th
First Basemen,Nelson Medellín,29th,Nelson Medellín,10th,26th
Second Basemen,Dan Ackerman,22nd,Sergio Mota,14th,22nd
Third Basemen,Billy MacNamara,23rd,Doug Owens,27th,24th
Shortstops,Norberto Miranda,11th,Cisco Navarro,8th,10th
Left Fielders,Sam O'Reilly,15th,Freddy Ortíz,11th,15th
Center Fielders,Steve Bunting,24th,José Méndez,2nd,19th
Right Fielders,José Sánchez,30th,Manny Júlio,19th,29th
Starting Pitchers,Stan Murphy,22nd,Juan Carlos Perales,5th,10th
Relievers,Robbie Moore,25th,Ron White,7th,25th
Closers,Clarence Brown,28th,Jake Martínez,25th,27th
,WASHINGTON NATIONALS 07/12/2061,,,,
Position,Top player,Team ranking,Top prospect,Organizational ranking,Overall ranking
Catchers,Juan Rivera,23rd,Ignacio Valle,29th,27th
First Basemen,Dan Rhodes,27th,Zak Johnson,30th,30th
Second Basemen,Jared Rameríez,16th,Sergio Alvarado,15th,14th
Third Basemen,Dan Park,4th,Pete Hargrove,5th,4th
Shortstops,Vic Clark,27th,Jay Fenton,3rd,25th
Left Fielders,Steve Ray,4th,Joe Flannery,22nd,5th
Center Fielders,Chris Farmer,19th,Doug Maloney,3rd,16th
Right Fielders,Kevin Davis,15th,Arlen Hall,8th,12th
Starting Pitchers,A.J. Hampton,14th,Jeff Hernández,14th,15th
Relievers,Gil Bradshaw,31st,Gil Bradshaw,31st,31st
Closers,A.J. Hampton,1st,Tim Bennett,11th,1st
,,,,,
"Tuesday, October 27th, 2020 - OOTP Baseball 21.6 Build 83",,,,,
